227CN1,,Green Coffee Beans Columbian FT 1kg,,,,,,EA,Columbia,,AQ,,1.00,,$17.00,$19.55,
227PNG1,,Green Coffee Beans PNG FT 1kg,,,,,,EA,PNG,,AQ,,1.00,,$18.95,$21.79,
510YR1,,Yerba Mate Rosamonte Specl Select Tea 1k,,,,,,EA,Argentina,,OIA,,1.00,,$13.44,$15.46,
510YK5,,Yerba Mate Sin Humo Organic Tea 500 gm,,,,,,EA,Argentina,,OIA,,10.00,,$9.03,$10.38,
510YK25,,Yerba Mate Sin Humo Organic Tea Bag 25's,,,,,,EA,Argentina,,OIA,,12.00,,$3.10,$3.57,
Dry bean \ Pulse,,,,,,,,,,,,,,,,,
001AD1,,Adzuki Beans 1kg,,,,,,EA,China,,AQ,,12.00,,$4.55,$5.23,
001AD500,,Adzuki Beans 500gm,,,,,,EA,China,,AQ,,12.00,,$2.99,$3.44,
001BT500,,Black Turtle Beans  500g,,,,,,EA,China,,AQ,,12.00,,$3.00,$3.45,
001BT1,,Black Turtle Beans 1KG,,,,,,EA,China,,AQ,,12.00,,$4.50,$5.18,
001CA1,,Cannellini Beans 1kg (White Kidney),,,,,,EA,China,,AQ,,12.00,,$5.95,$6.84,
001CA500,,Cannellini Beans 500gm (White Kidney),,,,,,EA,China,,AQ,,12.00,,$3.85,$4.43,
060GN1,,Green Peas Split 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.80,$4.37,
060GSP500,,Green Peas Split 500gm,,,,,,EA,New Zealand,,AQ,,12.00,,$2.25,$2.59,
060NZGSP1,,Green Spilt Peas NZ  1 kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.90,$4.49,
060NZGSP05,,Green Spilt Peas NZ  500g,,,,,,EA,New Zealand,,AQ,,12.00,,$2.60,$2.99,
001WKL04,,Large White Kidney (Lima) Beans 450g,,,,,,,Italy,,Eco-Cert,,1.00,,$4.40,$5.06,
001MG1,,Mung Beans 1kg,,,,,,EA,China,,AQ,,12.00,,$6.50,$7.48,
001MG500,,Mung Beans 500gm,,,,,,EA,China,,AQ,,12.00,,$4.05,$4.66,
050BWL1,,NZ Brown Whole Lentils 1kg,,,,,,EA,New Zealand,,,,12.00,,$7.00,$8.05,
050BWL05,,NZ Brown Whole Lentils 500g,,,,,,EA,New Zealand,,,,12.00,,$4.20,$4.83,
001CP1,,Organic Chickpeas 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$5.35,$6.15,
001CP05,,Organic Chickpeas 500g,,,,,,EA,Turkey,,AQ,,12.00,,$3.40,$3.91,
050RW1,,Organic Red Football Lentils 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$6.00,$6.90,
050RW05,,Organic Red Football Lentils 500g,,,,,,EA,Turkey,,AQ,,12.00,,$3.75,$4.31,
050RS05,,Organic Red Split Lentil 500g,,,,,,EA,Turkey,,AQ,,12.00,,$3.60,$4.14,
050RS1,,Organic Red Split Lentils 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$5.80,$6.67,
001PI1,,Pinto Beans 1kg,,,,,,EA,China,,AQ,,12.00,,$5.20,$5.98,
001PI500,,Pinto Beans 500gm,,,,,,EA,China,,AQ,,12.00,,$3.50,$4.03,
001RK1,,Red Kidney Beans - 1kg,,,,,,EA,China,,AQ,,12.00,,$7.40,$8.51,
001RK500,,Red Kidney Beans - 500gm,,,,,,EA,China,,AQ,,12.00,,$4.50,$5.18,
001WKS05,,Small White Kidney (Navy) Beans 500g,,,,,,EA,China,,Eco-Cert,,1.00,,$3.55,$4.08,
060YPS1,,Yellow Peas Split 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.80,$4.37,
060YPS500,,Yellow Peas Split 500gm,,,,,,EA,New Zealand,,AQ,,12.00,,$2.25,$2.59,
060NZYSP1,,Yellow Split Peas NZ  1 kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.90,$4.49,
060NZYSP05,,Yellow Split Peas NZ  500g,,,,,,EA,New Zealand,,AQ,,12.00,,$2.60,$2.99,
Essences,,,,,,,,,,,,,,,,,
310VD100,,Vanilla Extract Double Strength 100ml,,,,,,EA,Indonesia,,AQ,,12.00,,$10.50,$12.08,
310VD50,,Vanilla Extract Double Strength 50ml,,,,,,EA,Indonesia,,AQ,,12.00,,$6.75,$7.76,
310VS100,,Vanilla Extract Single Strength 100ml,,,,,,EA,Indonesia,,AQ,,12.00,,$7.25,$8.34,
310VS50,,Vanilla Extract Single Strength 50ml,,,,,,EA,Indonesia,,AQ,,6.00,,$4.50,$5.18,
Flour,,,,,,,,,,,,,,,,,
020LUMJ1,,Australian Cake Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$3.75,$4.31,
020LUW1,,Australian Premium White Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$3.75,$4.31,
020LUSR1,,Australian Self Raising Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$4.40,$5.06,
020LUSPWM1,,Australian Spelt Wholemeal Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$5.99,$6.89,
020LUSP1,,Australian White Spelt Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$5.99,$6.89,
020LUWH1,,Australian Wholemeal Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$3.75,$4.31,
020BA1,,Barley Flour Stoneground 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.20,$4.83,
020BBF1,,Black Bean Flour 1 kg,,,,,,EA,China,,AQ,,12.00,,$3.95,$4.54,
020RBP1,,Brown Rice Flour 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$3.50,$4.03,
020BU1,,Buckwheat Flour 1kg,,,,,,EA,China,,AQ,,12.00,,$4.45,$5.12,
020MC1,,Corn Flour (NZ) 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$5.25,$6.04,
020MCW1,,Corn Flour Wholegrain (NZ) 1 kg,,,,,,EA,New Zealand,,AQ,,12.00,,$5.25,$6.04,
020CM1,,Corn Meal 1 kg (NZ),,,,,,EA,New Zealand,,AQ,,12.00,,$5.25,$6.04,
020CM500,,Corn Meal 500gm (NZ),,,,,,EA,New Zealand,,AQ,,12.00,,$3.30,$3.80,
020MI1,,Millet Flour (Sticky) 1kg,,,,,,EA,China,,AQ,,12.00,,$4.20,$4.83,
020OA1,,Oat Flour 1kg,,,,,,EA,Australia,,AQ,,12.00,,$5.15,$5.92,
035PNZ1,,Polenta New Zealand 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$5.25,$6.04,
035PNZ05,,Polenta NZ 500g,,,,,,EA,New Zealand,,AQ,,12.00,,$3.30,$3.80,
020RNZ1,,Rye Flour 1kg (NZ),,,,,,EA,New Zealand,,AQ,,12.00,,$4.35,$5.00,
020SS05,,Sesame Flour 500g,,,,,,EA,Mexico,,AQ,,12.00,,$3.95,$4.54,
035WK350,,Wheat Bran Flakes Fine - NZ - 350gm,,,,,,EA,New Zealand,,AQ,,12.00,,$2.50,$2.88,
020SGW1,,White Flour NZ Stoneground 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.10,$4.72,
020RWP1,,White Rice Flour 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$3.50,$4.03,
020SWMNZ1,,Wholemeal Flour NZ Stoneground 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.20,$4.83,
020Z41,,Zentrofan 4 Grain Flour 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.30,$4.95,
020Z71,,Zentrofan 7 Grain Flour 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.50,$5.18,
020ZW1,,Zentrofan Wheat Flour 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.30,$4.95,
Fruit Dry,,,,,,,,,,,,,,,,,
080GB09,,Organic Goji Berries 90g,,,,,,EA,China,,AQ,,12.00,,$5.20,$5.98,
080ST1,,Organic Sultanas 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$8.15,$9.37,
080ST05,,Organic Sultanas 375g,,,,,,EA,Turkey,,AQ,,12.00,,$3.95,$4.54,
080RU375,,Raisins USA 375gm,,,,,,EA,United States,,AQ,,12.00,,$3.75,$4.31,
080RR0375,,Red Raisins 375g,,,,,,EA,China,,AQ,,12.00,,$4.65,$5.35,
Grains,,,,,,,,,,,,,,,,,
030BH1,,Buckwheat Hulled 1kg,,,,,,EA,China,,AQ,,12.00,,$3.60,$4.14,
030BH05,,Buckwheat Hulled 500g,,,,,,EA,China,,AQ,,12.00,,$2.55,$2.93,
035BK1,,Buckwheat Kibbled 1kg,,,,,,EA,China,,AQ,,12.00,,$4.80,$5.52,
035BWC1,,Bulgur Wheat Coarse 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$3.90,$4.49,
035BWC05,,Bulgur Wheat Coarse 500g,,,,,,EA,Turkey,,AQ,,12.00,,$2.65,$3.05,
030HW1,,Hard Wheat 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.82,$4.39,
030BP1,,Pearl Barley 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.30,$4.95,
030BP500,,Pearl Barley 500g,,,,,,EA,New Zealand,,AQ,,12.00,,$2.85,$3.28,
035BPK1,,Pearl Barley Kibbled 1kg,,,,,,EA,New Zealand,,AQ,,1.00,,$5.05,$5.81,
030PC1,,Popcorn 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.65,$5.35,
030PC500,,Popcorn 500gm,,,,,,EA,New Zealand,,AQ,,12.00,,$3.05,$3.51,
030RY1,,Rye Grain 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$3.95,$4.54,
035RK1,,Rye Kibbled 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$4.35,$5.00,
035WK1,,Wheat Kibbled 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$2.95,$3.39,
Health Powder,,,,,,,,,,,,,,,,,
390BG01,,Barley Grass Powder Organic 100g,,,,,,EA,New Zealand,,AQ,,12.00,,$5.50,$6.33,
390BG1,,Barley Grass Powder Organic 1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$45.00,$51.75,
390BG02,,Barley Grass Powder Organic 250g,,,,,,EA,New Zealand,,AQ,,12.00,,$11.50,$13.23,
390KPEP80,,Chantal Kelp Pepper 80g,,,,,,EA,New Zealand,,AQ,,12.00,,$7.10,$8.17,
390KPOW100,,Chantal Kelp Powder 100g,,,,,,EA,New Zealand,,AQ,,12.00,,$8.20,$9.43,
390MP01,,Organic Maca Powder 100g,,,,,,EA,Peru,,AQ,,12.00,,$9.30,$10.70,
280PSP1,,Organic Psyllium Powder 1kg,,,,,,EA,India,,AQ,,12.00,,$18.35,$21.10,
280PSP450,,Organic Psyllium Powder 450g,,,,,,EA,India,,AQ,,12.00,,$9.15,$10.52,
390SP001,,Organic Spirulina Powder 100g,,,,,,EA,China,,AQ,,12.00,,$5.25,$6.04,
390SP01,,Organic Spirulina Powder 1kg,,,,,,EA,China,,AQ,,12.00,,$36.65,$42.15,
390WG01,,Wheat Grass Powder Organic  100g,,,,,,EA,New Zealand,,AQ,,12.00,,$5.50,$6.33,
390WG1,,Wheat Grass Powder Organic  1kg,,,,,,EA,New Zealand,,AQ,,12.00,,$45.00,$51.75,
390WG02,,Wheat Grass Powder Organic  250g,,,,,,EA,New Zealand,,AQ,,12.00,,$11.50,$13.23,
Nuts Dry,,,,,,,,,,,,,,,,,
090PRRS1,,Peanuts Raw Red Skin 1kg,,,,,,EA,China,,AQ,,12.00,,$5.65,$6.50,
090PRRS05,,Peanuts Raw Red Skin 500g,,,,,,EA,China,,AQ,,12.00,,$3.55,$4.08,
090PR1,,Peanuts Roasted 1kg,,,,,,EA,China,,AQ,,12.00,,$6.50,$7.48,
090PRO500,,Peanuts Roasted 500g,,,,,,EA,China,,AQ,,12.00,,$3.95,$4.54,
Oil,,,,,,,,,,,,,,,,,
190CD400,,Coconut Oil Deodorised 400ml,,,,,,EA,Phillipines,,AQ,,12.00,,$4.90,$5.64,
190CD700,,Coconut Oil Deodorised 700ml,,,,,,EA,Phillipines,,AQ,,6.00,,$7.40,$8.51,
190CEV250,,Coconut Oil Virgin 250ml,,,,,,EA,Phillipines,,AQ,,12.00,,$5.82,$6.69,
190CEV400,,Coconut Oil Virgin 400ml,,,,,,EA,Phillipines,,AQ,,12.00,,$8.25,$9.49,
190CEV700,,Coconut Oil Virgin 700ml,,,,,,EA,Phillipines,,AQ,,6.00,,$13.45,$15.47,
190TVO5,,Olive Oil Virgin Turkish 500ml,,,,,,EA,Turkey,,AQ,,12.00,,$7.95,$9.14,
190ST250,,Sesame Oil Organic Toasted 250ml,,,,,,EA,Mexico,,AQ,,12.00,,$4.95,$5.69,
190SV250,,Sesame Oil Organic Virgin C/P 250ml,,,,,,EA,Mexico,,,,12.00,,$4.95,$5.69,
Pasta,,,,,,,,,,,,,,,,,
200GT200,,Hakubaku Green Tea Noodles 200 gm,,,,,,EA,Australia,,OIA,,12.00,,$3.28,$3.77,
200R270,,Hakubaku Ramen 270gm,,,,,,EA,Australia,,ACO,,12.00,,$3.28,$3.77,
200S270,,Hakubaku Soba (30% buckwheat) 270gm,,,,,,EA,Australia,,ACO,,12.00,,$3.28,$3.77,
200SO270,,Hakubaku Somen 270gm,,,,,,EA,Australia,,ACO,,12.00,,$3.28,$3.77,
200U270,,Hakubaku Udon 270gm,,,,,,EA,Australia,,ACO,,12.00,,$3.28,$3.77,
Rice,,,,,,,,,,,,,,,,,
010TB1,,Black Glutinous Rice 1kg,,,,,,EA,China,,AQ,,12.00,,$6.95,$7.99,
010TB05,,Black Glutinous Rice 500g,,,,,,EA,Pakistan,,AQ,,12.00,,$3.95,$4.54,
010BBP1,,Brown Basmati Rice 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$4.95,$5.69,
010BBP05,,Brown Basmati Rice 500g,,,,,,EA,Pakistan,,AQ,,12.00,,$3.05,$3.51,
010LBP1,,Long Grain Brown Rice 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$2.95,$3.39,
010LBP05,,Long Grain Brown Rice 500g,,,,,,EA,Pakistan,,AQ,,12.00,,$2.15,$2.47,
010LWP1,,Long Grain White Rice 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$2.95,$3.39,
010LWP05,,Long Grain White Rice 500g,,,,,,EA,Pakistan,,AQ,,12.00,,$2.15,$2.47,
010TR1,,Red Glutinous Rice 1kg,,,,,,EA,Taiwan,,AQ,,12.00,,$6.95,$7.99,
010TSB05,,Short Grain Brown Rice 500g,,,,,,EA,Taiwan,,AQ,,12.00,,$3.45,$3.97,
010BWP1,,White Basmati Rice 1kg,,,,,,EA,Pakistan,,AQ,,12.00,,$4.95,$5.69,
010BWP05,,White Basmati Rice 500g,,,,,,EA,Pakistan,,AQ,,12.00,,$3.05,$3.51,
Seasoning,,,,,,,,,,,,,,,,,
435SS03,,Soy Sauce Shoyu 300ml,,,,,,EA,China,,AQ,,6.00,,$3.75,$4.31,
435TS03,,Tamari Soy Sauce 300ml,,,,,,EA,China,,AQ,,6.00,,$3.95,$4.54,
Seeds,,,,,,,,,,,,,,,,,
0412NDPS,,2NDs Pumpkin Seed Natural NZ /kg,,,,,,KG,New Zealand,,Natural,,1.00,,$9.80,$11.27,
040AMS1,,Amaranth Seed 1kg,,,,,,EA,India,,AQ,,12.00,,$7.40,$8.51,
040AMS500,,Amaranth Seed 500gm,,,,,,EA,India,,AQ,,12.00,,$3.40,$3.91,
040MBK1,,Mustard Seed Black 1kg,,,,,,EA,India,,AQ,,12.00,,$5.25,$6.04,
040MBK020,,Mustard Seed Black 200g,,,,,,EA,India,,AQ,,12.00,,$2.35,$2.70,
040MB1,,Mustard Seed Brown 1kg,,,,,,EA,New Zealand,,,,12.00,,$6.15,$7.07,
040MB200,,Mustard Seed Brown 200 g,,,,,,EA,New Zealand,,,,12.00,,$6.15,$7.07,
040MY1,,Mustard Seed Yellow 1kg,,,,,,EA,New Zealand,,,,12.00,,$5.35,$6.15,
040MY020,,Mustard Seed Yellow 200g,,,,,,EA,New Zealand,,,,12.00,,$2.40,$2.76,
040SF1,,Organic Sunflower Seed 1kg,,,,,,EA,China,,AQ,,12.00,,$5.56,$6.39,
040SF04,,Organic Sunflower Seed 400g,,,,,,EA,China,,AQ,,12.00,,$3.08,$3.54,
040PSC1,,Pumpkin Seed Chinese 1kg,,,,,,EA,China,,AQ,,12.00,,$12.50,$14.38,
040PSC400,,Pumpkin Seed Chinese 400gm,,,,,,EA,China,,AQ,,12.00,,$6.00,$6.90,
040SSMB1,,Sesame Seed Black 1kg,,,,,,EA,Mexico,,AQ,,12.00,,$8.50,$9.78,
040SSMB02,,Sesame Seed Black 250g,,,,,,EA,Mexico,,AQ,,12.00,,$3.30,$3.80,
040SSMH1,,Sesame Seed Hulled 1kg,,,,,,EA,Mexico,,AQ,,1.00,,$8.90,$10.24,
020SSH02,,Sesame Seed Hulled 250g,,,,,,EA,Mexico,,AQ,,12.00,,$3.30,$3.80,
040SSMU1,,Sesame Seed Unhulled 1kg,,,,,,EA,Mexico,,AQ,,12.00,,$7.80,$8.97,
040SSMU02,,Sesame Seed Unhulled 250g,,,,,,EA,Mexico,,AQ,,12.00,,$3.30,$3.80,
Snack Food,,,,,,,,,,,,,,,,,
490CC150,,Pureharvest Corn Cakes 150gm,,,,,,EA,Australia,,ACO,,6.00,,$2.65,$3.05,
490RC150,,Pureharvest Rice Cakes 150gm,,,,,,EA,Australia,,ACO,,6.00,,$2.65,$3.05,
Spice Herb,,,,,,,,,,,,,,,,,
280AW01,,Anise Whole Seed 100g,,,,,,EA,Turkey,,AQ,,12.00,,$3.25,$3.74,
280AW1,,Aniseed Whole 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$18.80,$21.62,
280ARP01,,Arrowroot Powder 100g,,,,,,EA,India,,AQ,,12.00,,$2.16,$2.48,
290BA350,,Basil 350gm,,,,,,EA,India,,AQ,,12.00,,$4.15,$4.77,
290BA080,,Basil 80gm,,,,,,EA,India,,AQ,,12.00,,$2.15,$2.47,
290BA04,,Basil Dried 40g,,,,,,EA,India,,AQ,,12.00,,$1.65,$1.90,
290BAY02,,Bay leaves Dried 20g,,,,,,EA,Turkey,,AQ,,12.00,,$3.15,$3.62,
290BAY1,,Bay Leaves Laurel 1kg,,,,,,EA,Turkey,,AQ,,12.00,,$83.50,$96.03,
290BAY040,,Bay Leaves Laurel 40gm,,,,,,EA,Turkey,,AQ,,12.00,,$5.00,$5.75,
290CS1,,Caraway Seed 1kg,,,,,,EA,India,,AQ,,12.00,,$15.00,$17.25,
280CY08,,Caraway Seed 80g,,,,,,EA,Egypt,,AQ,,12.00,,$2.46,$2.83,
280CAG1,,Cardamon Seed Ground 1kg,,,,,,EA,India,,AQ,,12.00,,$50.00,$57.50,
280CAG250,,Cardamon Seed Ground 250gm,,,,,,EA,India,,AQ,,12.00,,$12.50,$14.38,
280CES1,,Celery Seed 1kg,,,,,,EA,,,,,12.00,,$5.95,$6.84,
280CES03,,Celery Seed 300g,,,,,,EA,,,,,12.00,,$2.85,$3.28,
280CHP1,,Chili Powder 1kg,,,,,,EA,India,,,,12.00,,$9.95,$11.44,
280CHP250,,Chili Powder 250gm,,,,,,EA,India,,,,12.00,,$3.50,$4.03,
280CHP02,,Chilli Powder 200g,,,,,,EA,India,,,,12.00,,$3.00,$3.45,
290CH1,,Chives 1kg,,,,,,EA,,,,,12.00,,$53.00,$60.95,
280CIP01,,Cinnamon Powder 100g,,,,,,EA,Indonesia,,AQ,,12.00,,$2.55,$2.93,
280CIP1,,Cinnamon Powder 1kg,,,,,,EA,Indonesia,,AQ,,12.00,,$12.95,$14.89,+
280CIQ05,,Cinnamon Quills 500gm,,,,,,EA,Indonesia,,AQ,,12.00,,$11.45,$13.17,
280CIQ08,,Cinnamon Quills 50g,,,,,,EA,Indonesia,,AQ,,12.00,,$3.20,$3.68,
280COG900,,Coriander Ground 900g,,,,,,EA,India,,,,12.00,,$7.40,$8.51,
280CORS05,,Coriander Seed 50g,,,,,,EA,India,,AQ,,12.00,,$1.75,$2.01,
280COW500,,Coriander Seed Whole 500gm,,,,,,EA,India,,,,12.00,,$6.00,$6.90,
